date, time, bus_rides_per_day, distance_km, passengers, ride_time_min, income_per_ride, cost_per_ride, profit_per_ride
2023-03-01,08.15, 8, 20, 30, 40, 8000.00, 3500.00, 4500.00
2023-03-01,10.20, 8, 20, 28, 35, 8500.00, 3600.00, 4900.00
2023-03-01,12.35, 8, 20, 32, 42, 7900.00, 3550.00, 4350.00
2023-03-01,15.10, 8, 20, 26, 45, 9000.00, 3700.00, 5300.00
2023-03-01,18.20, 8, 20, 33, 38, 8100.00, 3550.00, 4550.00
2023-03-01,20.25, 8, 20, 31, 40, 8200.00, 3600.00, 4600.00
2023-03-01,22.40, 8, 20, 27, 36, 8800.00, 3650.00, 5150.00
2023-03-01,23.55, 8, 20, 29, 37, 8600.00, 3600.00, 5000.00
2023-03-02,08.10, 8, 20, 32, 41, 7900.00, 3550.00, 4350.00
2023-03-02,10.25, 8, 20, 30, 43, 8200.00, 3650.00, 4550.00
2023-03-02,12.50, 8, 20, 28, 36, 8700.00, 3650.00, 5050.00
2023-03-02,15.15, 8, 20, 31, 44, 8300.00, 3600.00, 4700.00
2023-03-02,18.30, 8, 20, 29, 37, 8600.00, 3600.00, 5000.00
2023-03-02,20.35, 8, 20, 33, 40, 8100.00, 3550.00, 4550.00
2023-03-02,22.50, 8, 20, 27, 34, 9100.00, 3750.00, 5350.00
2023-03-02,23.55, 8, 20, 30, 39, 8400.00, 3650.00, 4750.00
2023-03-03,08.20, 8, 20, 28, 36, 8700.00, 3650.00, 5050.00
2023-03-03,10.15, 8, 20, 31, 45, 8900.00, 3650.00, 5250.00
2023-03-03,12.30, 8, 20, 33, 40, 8100.00, 3550.00, 4550.00
2023-03-03,15.05, 8, 20, 27, 34, 9100.00, 3750.00, 5350.00
2023-03-03,18.15, 8, 20, 30, 38, 8500.00, 3650.00, 4850.00
2023-03-03,20.20, 8, 20, 29, 36, 8800.00, 3650.00, 5150.00
2023-03-03,22.35, 8, 20, 32, 42, 7900.00, 3550.00, 4350.00
2023-03-03,23.55, 8, 20, 28, 37, 8600.00, 3600.00, 5000.00
2023-03-04,06.00, 8, 20, 40, 50, 9400.00, 3700.00, 5700.00
2023-03-04,08.00, 8, 20, 20, 40, 6500.00, 3300.00, 3200.00
2023-03-04,10.30, 8, 20, 25, 36, 7000.00, 3600.00, 3400.00
2023-03-04,13.30, 8, 20, 42, 55, 9600.00, 3800.00, 5800.00
2023-03-04,15.00, 8, 20, 35, 40, 8400.00, 3600.00, 4800.00
2023-03-04,18.00, 8, 20, 44, 50, 9700.00, 3800.00, 5900.00
2023-03-04,20.00, 8, 20, 40, 50, 9400.00, 3700.00, 5700.00
2023-03-04,22.00, 8, 20, 30, 30, 7000.00, 3400.00, 4000.00
2023-03-05,07.30, 8, 20, 30, 40, 8000.00, 3500.00, 4500.00
2023-03-05,09.00, 8, 20, 35, 40, 3505.00, 8900.00, 5395.00
2023-03-05,11.45, 8, 20, 28, 42, 3550.00, 8000.00, 4450.00
2023-03-05,13.30, 8, 20, 31, 38, 3525.00, 8450.00 4925.00
2023-03-05,15.00, 8, 20, 39, 41, 3480.00, 9550.00, 6070.00
2023-03-05,17.20, 8, 20, 42, 43, 3455.00, 9850.00, 6395.00
2023-03-05,19.30, 8, 20, 45, 45, 3425.00, 10000.00, 6575.00
2023-03-05,22.30, 8, 20, 34, 40, 3500.00, 8850.00, 5350.00
2023-03-06,05.30, 8, 20, 29, 42, 3555.00, 8050.00, 4495.00
2023-03-06,08.00, 8, 20, 38, 39, 3475.00, 9400.00, 5925.00
2023-03-06,10.30, 8, 20, 42, 41, 3435.00, 9850.00, 6415.00
2023-03-06,13.00, 8, 20, 36, 37, 3510.00, 8650.00, 5140.00
2023-03-06,15.00, 8, 20, 30, 39, 3470.00, 8250.00, 4780.00
2023-03-06,17.30, 8, 20, 33, 41, 3430.00, 8750.00, 5320.00
2023-03-06,19.00, 8, 20, 38, 44, 3400.00, 9300.00, 5900.00
2023-03-06,23.00, 8, 20, 41, 42, 3460.00, 9700.00, 6240.00
2023-03-07,05.00, 8, 20, 27, 43, 3465.00, 7900.00, 4435.00
2023-03-07,08.10, 8, 20, 43, 38, 3515.00, 10000.00, 6485.00
2023-03-07,11.00, 8, 20, 40, 42, 3445.00, 9500.00, 6055.00
2023-03-07,14.00, 8, 20, 37, 37, 3525.00, 8950.00, 5425.00
2023-03-07,17.00, 8, 20, 32, 39, 3485.00, 8550.00, 5065.00
2023-03-07,19.00, 8, 20, 29, 40, 3520.00, 8050.00, 4530.00
2023-03-07,21.00, 8, 20, 34, 44, 3435.00, 8850.00, 5415.00
2023-03-07,23.00, 8, 20, 36, 42, 3470.00, 9050.00, 5580.00
